Address,Price,N,City,Bedrooms,Bathrooms,Home Type
17 Chapais Cres,"$1,247,300",Centennial Scarborough,Toronto,4,3,House
28 Joel Swirsky Blvd,"$2,599,900",Clanton Park,Toronto,5,6,House
1004 - 10 Park Lawn Rd,"$689,999",Mimico,Toronto,2,2,Apt/Condo
939 - 18 Mondeo Dr,"$499,975",Dorset Park,Toronto,1,1,Apt/Condo
4308 - 8 Eglinton Ave E,"$758,000",Mount Pleasant West,Toronto,2,2,Apt/Condo
80 Shandon Drive,"$1,379,900",Wexford Maryvale,Toronto,7,4,House
8 Park Hill Road,"$1,698,000",Forest Hill North,Toronto,4,3,House
186 Silverthorn Ave,"$1,099,000",Weston Pellam Park,Toronto,3,3,House
1009 - 714 The West Mall W,"$573,900",Eringate Centennial West Deane,Toronto,3,2,Apt/Condo
1408 - 725 Don Mills Rd,"$299,000",Flemingdon Park,Toronto,1,1,Apt/Condo
1001 - 30 Old Mill Rd,"$2,995,000",Kingsway South,Toronto,3,3,Apt/Condo
1028 - 125 Omni Dr,"$438,000",Bendale,Toronto,1,1,Apt/Condo
3202 - 8 York St,"$1,098,000",Waterfront Communities West,Toronto,2,2,Apt/Condo
297 Bain Avenue,"$1,399,000",Blake Jones,Toronto,3,2,House
48 Ardgowan Cres,"$898,000",Agincourt North,Toronto,4,3,Townhouse
18 Epsom Ave,"$1,549,000",Woodbine Lumsden,Toronto,4,3,House
122 Barker Ave,"$1,349,000",Danforth Village East York,Toronto,3,3,House
1507 - 60 Pavane Linkway,"$400,000",Flemingdon Park,Toronto,2,1,Apt/Condo
316 - 60 Southport St,"$858,000",High Park Swansea,Toronto,3,2,Apt/Condo
413 - 835 St Clair Ave W,"$669,000",Wychwood,Toronto,1,1,Apt/Condo
11 Prince Rupert Ave,"$1,849,000",High Park North,Toronto,4,4,House
