Address,Price,N,City,Bedrooms,Bathrooms,Home Type
293 Chaplin Cres,"$2,795,000",Forest Hill South,Toronto,5,4,House
96 King High Ave,"$1,599,900",Clanton Park,Toronto,7,5,House
1109 - 2645 Kipling Ave W,"$479,900",Mount Olive Silverstone Jamestown,Toronto,2,2,Apt/Condo
407 - 10 Meadowglen Pl,"$499,900",Woburn,Toronto,2,1,Apt/Condo
26 Dellbrook Crescent,"$1,100,000",Humber Summit,Toronto,4,2,House
716 - 20 Dean Park Road,"$614,900",Rouge,Toronto,2,2,Apt/Condo
10 Cedar Springs Grove,"$1,550,000",Bathurst Manor,Toronto,4,3,House
605 - 55 Delisle Ave,"$3,195,000",Yonge St. Clair,Toronto,3,3,Apt/Condo
82 Roseneath Gdns,"$999,000",Oakwood Vaughan,Toronto,4,2,House
7 Woodycrest Ave,"$1,388,000",Danforth,Toronto,5,3,House
50 St Andrews Boulevard,"$1,199,900",Kingsview Village The Westway,Toronto,4,2,House
114 - 371 Orton Park Rd,"$699,000",Morningside,Toronto,3,2,Townhouse
105 - 39 Pemberton Ave,"$624,000",Newtonbrook East,Toronto,1,1,Apt/Condo
32 Farley Cres,"$1,299,000",Willowridge Martingrove Richview,Toronto,4,3,House
31 Taunton Rd,"$1,100,000",Mount Pleasant East,Toronto,3,2,House
612 - 3237 Bayview Ave,"$619,000",Bayview Woods Steeles,Toronto,3,2,Apt/Condo
627 - 150 Logan Avenue,"$1,300,000",South Riverdale,Toronto,3,2,Apt/Condo
6 Neelands Cres,"$990,000",Morningside,Toronto,4,3,House
70 Watney Cres,"$975,000",Glenfield Jane Heights,Toronto,4,3,House
2 - 7 Warwick Ave,"$592,000",Humewood Cedarvale,Toronto,2,1,Apt/Condo
