Address,Price,N,City,Bedrooms,Bathrooms,Home Type
70 Oriole Road,"$5,350,000",Yonge St. Clair,Toronto,5,5,House
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto,2,2,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1,1,Apt/Condo
759 Wilson Heights Blvd,"$949,990",Bathurst Manor,Toronto,3,1,House
3408 - 50 Town Centre Crt,"$568,000",Bendale,Toronto,2,1,Apt/Condo
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto,2,2,Apt/Condo
28 Joel Swirsky Blvd,"$2,599,900",Clanton Park,Toronto,5,6,House
52 Acton Ave,"$1,449,900",Bathurst Manor,Toronto,5,3,House
326 - 38 Monte Kwinter Crt,"$519,999",Clanton Park,Toronto,2,1,Apt/Condo
301 - 30 Hayden St,"$499,900",Church Yonge Corridor,Toronto,1,1,Apt/Condo
Ph14 - 1060 Sheppard Ave W,"$799,900",York University Heights,Toronto,2,3,Apt/Condo
169 Kennard Ave,"$1,649,900",Bathurst Manor,Toronto,5,3,House
412 - 17 Zorra St,"$475,000",Islington City Centre West,Toronto,1,1,Apt/Condo
1802 - 3 Rowntree Rd,"$645,900",Mount Olive Silverstone Jamestown,Toronto,2,2,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,5,2,House
1806 - 15 Legion Rd,"$799,880",Mimico,Toronto,3,2,Apt/Condo
1801 - 225 Village Green Sq,"$559,000",Agincourt South Malvern West,Toronto,2,1,Apt/Condo
2611 - 8 Eglinton Ave E,"$659,800",Mount Pleasant West,Toronto,2,2,Apt/Condo
1904 - 20 Brin Dr,"$889,000",Edenbridge Humber Valley,Toronto,2,2,Apt/Condo
30 Fusilier Dr,"$939,999",Clairlea Birchmount,Toronto,3,2,Townhouse
57 Shanly St,"$1,800,000",Dovercourt Wallace Emerson Junction,Toronto,6,3,Duplex
