Address,Price,N,City,Bedrooms,Bathrooms,Home Type
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto,3,3,Townhouse
52 Acton Ave,"$1,449,900",Bathurst Manor,Toronto,5,3,House
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto,2,2,Apt/Condo
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto,3,4,Townhouse
73 Pettibone Sq,"$898,000",L'amoreaux,Toronto,3,2,House
4011 - 395 Bloor St E,"$499,000",North St. Jamestown,Toronto,2,1,Apt/Condo
2410 - 5500 Yonge Street,"$888,000",Willowdale West,Toronto,2,2,Apt/Condo
622 - 859 The Queensway,"$699,000",Stonegate Queensway,Toronto,3,2,Apt/Condo
1906 - 55 East Liberty Street,"$950,000",Niagara,Toronto,2,2,Apt/Condo
Uph106 - 797 Don Mills Rd,"$569,999",Flemingdon Park,Toronto,2,1,Apt/Condo
5 - 205 Bonis Ave,"$899,900",Tam O'shanter Sullivan,Toronto,3,2,Townhouse
Ph17 - 2111 Lake Shore Blvd W,"$1,475,000",Mimico,Toronto,2,2,Apt/Condo
54 Flintridge Rd,"$988,000",Dorset Park,Toronto,7,4,House
86 Blossom Cres,"$799,999",Glenfield Jane Heights,Toronto,4,2,House
104 - 225 The Donway W,"$1,435,000",Banbury Don Mills,Toronto,2,3,Apt/Condo
405 - 2464 Weston Road,"$405,000",Weston,Toronto,1,1,Apt/Condo
40 Thorny Vine Way,"$715,000",Bayview Village,Toronto,4,3,Townhouse
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto,2,2,Apt/Condo
613 Old Weston Rd,"$1,088,000",Weston Pellam Park,Toronto,4,4,House
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto,2,1,Apt/Condo
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto,1,1,Apt/Condo
