Address,Price,N,City,Bedrooms,Bathrooms,Home Type
1216 - 801 King Street W,"$595,000",Niagara,Toronto,1,1,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,5,2,House
36 Summerfield Cres,"$1,100,000",Eringate Centennial West Deane,Toronto,4,2,House
128 Shropshire Dr,"$1,149,000",Dorset Park,Toronto,4,2,House
1233 - 35 Viking Lane,"$697,800",Islington City Centre West,Toronto,2,2,Apt/Condo
2476  Islington Ave,"$1,100,000",Rexdale Kipling,Toronto,6,4,House
1901 - 195 McCaul St,"$1,905,871",Kensington Chinatown,Toronto,3,3,Apt/Condo
LPh 01 - 10 Meadowglen Pl,"$598,000",Woburn,Toronto,3,2,Apt/Condo
74 Mortimer Ave,"$1,159,000",Broadview North,Toronto,4,3,House
161 Parkhurst Blvd,"$1,546,499",Leaside,Toronto,2,2,House
802 - 290 Adelaide Street W,"$950,000",Waterfront Communities West,Toronto,2,2,Apt/Condo
D9 - 108 Finch Avenue W,"$1,100,000",Newtonbrook West,Toronto,4,3,Townhouse
46 Singleton Rd,"$850,000",Wexford Maryvale,Toronto,4,2,House
905 - 398 Front St E,"$819,900",Waterfront Communities East,Toronto,2,2,Apt/Condo
209 - 369 Sorauren Ave,"$599,000",Roncesvalles,Toronto,1,1,Apt/Condo
26 Winona Dr,"$1,429,000",Wychwood,Toronto,4,2,House
826 - 35 Bastion St,"$649,000",Niagara,Toronto,1,1,Apt/Condo
5j Brussels Street,"$1,199,900",Stonegate Queensway,Toronto,3,3,Townhouse
49 - 5 William Jackson Way,"$695,000",New Toronto,Toronto,2,2,Townhouse
909 - 7 Lorraine Drive,"$595,999",Willowdale West,Toronto,2,1,Apt/Condo
