Address,Price,Bedrooms,Bathrooms,Size,Home Type
418 - 150 Sudbury St,"$599,900",Little Portugal,Toronto,2 bd,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1 bd,Apt/Condo
96 King High Ave,"$1,599,900",Clanton Park,Toronto,4 + 3 bd,House
100 Roe Ave,"$3,188,800",Lawrence Park North,Toronto,4 + 1 bd,House
21 - 115 Long Branch Ave,"$799,000",Long Branch,Toronto,2 bd,Townhouse
710 - 108 Peter St,"$588,000",Waterfront Communities West,Toronto,1 + 1 bd,Apt/Condo
619 - 96 Strachan Ave,"$798,000",Niagara,Toronto,2 bd,Townhouse
418 - 135 Village Green Sq,"$549,000",Agincourt South Malvern West,Toronto,1 + 1 bd,Apt/Condo
181 Earlscourt Ave,"$799,900",Corso Italia Davenport,Toronto,3 bd,House
501 - 9 Valhalla Inn Rd,"$549,000",Islington City Centre West,Toronto,1 + 1 bd,Apt/Condo
702 - 4 The Kingsway,"$2,698,000",Kingsway South,Toronto,2 bd,Apt/Condo
502 - 31 Four Winds Dr,"$545,000",York University Heights,Toronto,2 bd,Apt/Condo
13 Riverlea Rd,"$2,088,000",Humber Heights,Toronto,4 bd,House
120 Neilson Dr,"$1,848,000",Markland Wood,Toronto,4 bd,House
2152 Bayview Ave,"$1,328,000",Bridle Path Sunnybrook York Mills,Toronto,3 + 1 bd,Townhouse
91 Hollyberry Tr,"$1,125,000",Hillcrest Village,Toronto,3 + 1 bd,House
53 Codsell Ave,"$1,199,900",Bathurst Manor,Toronto,3 + 1 bd,House
302 - 36 Zorra St,"$565,000",Islington City Centre West,Toronto,1 + 1 bd,Apt/Condo
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto,4 bd,Townhouse
314 - 60 George Butchart Dr,"$505,000",Downsview Roding Cfb,Toronto,1 bd,Apt/Condo
303 - 70 Old Sheppard Ave,"$520,000",Pleasant View,Toronto,2 bd,Apt/Condo
