Address,Price,Bedrooms,Bathrooms,Bedrooms,Bathrooms,Home Type
705 - 28 Rosebank Dr,"$759,000",Malvern,Toronto,3 bd,3,Townhouse
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,3 + 2 bd,3,House
195 Valley Rd,"$4,000,000",Bridle Path Sunnybrook York Mills,Toronto,3 + 1 bd,3,House
210 - 4600 Steeles Ave E,"$579,000",Milliken,Toronto,1 + 1 bd,1,Apt/Condo
703 - 320 Dixon Rd,"$449,900",Kingsview Village The Westway,Toronto,2 bd,1,Apt/Condo
10 Clinton St,"$1,900,000",Trinity Bellwoods,Toronto,0 bd,2,Townhouse
66 - 441 Military Tr,"$719,000",Morningside,Toronto,3 + 1 bd,2,Townhouse
868 Broadview Ave,$1,Playter Estates Danforth,Toronto,0 bd,0,House
Lph05 - 660 Sheppard Ave E,"$1,498,000",Bayview Village,Toronto,2 bd,3,Apt/Condo
30 Houndtrail Dr,"$1,350,000",Highland Creek,Toronto,4 bd,4,House
Ph13 - 300 Balliol St,"$949,000",Mount Pleasant West,Toronto,2 + 1 bd,2,Apt/Condo
1102 - 131 Torresdale Ave S,"$879,000",Westminister Branson,Toronto,3 bd,2,Apt/Condo
802 - 575 Bloor St E,"$1,330,000",North St. Jamestown,Toronto,3 bd,2,Apt/Condo
50 Moore Park Ave,"$1,680,000",Newtonbrook West,Toronto,3 + 2 bd,2,House
1415 - 140 Simcoe St,"$1,159,000",Waterfront Communities West,Toronto,2 + 1 bd,2,Apt/Condo
1313 Gerrard St E,"$1,499,000",Greenwood Coxwell,Toronto,2 bd,2,House
509 - 1328 Birchmount Rd,"$560,000",Wexford Maryvale,Toronto,1 + 1 bd,1,Apt/Condo
1 Versailles Crt,"$4,288,888",Banbury Don Mills,Toronto,4 + 2 bd,7,House
3142 Dundas St W,"$1,598,000",Junction Area,Toronto,3 bd,2,Apt/Condo
227 Glendora Ave,"$1,499,000",Willowdale East,Toronto,4 bd,2,House
1918 - 155 Yorkville Ave,"$959,000",Yorkville,Toronto,2 bd,2,Apt/Condo
